dz,place,distance,LSOA01NM,TTWA01CD,TTWA01CDO,TTWA01NM,LAD07CD,LAD07NM,area
S01001674,Glasgow,13023.49072460592,NA,S22000018,089,Glasgow,220,East Renfrewshire,207634.0085936565
S01001675,Glasgow,12671.118410850922,NA,S22000018,089,Glasgow,220,East Renfrewshire,467306.48402812605
S01001676,Glasgow,14926.174502699492,NA,S22000018,089,Glasgow,220,East Renfrewshire,33767530.10149348
S01001677,Glasgow,10836.351199342042,NA,S22000018,089,Glasgow,220,East Renfrewshire,274716.874231588
S01001678,Glasgow,15846.267775992897,NA,S22000018,089,Glasgow,220,East Renfrewshire,13994900.702882782
S01001679,Glasgow,11581.299195022892,NA,S22000018,089,Glasgow,220,East Renfrewshire,256172.71833545054
S01001680,Glasgow,10856.712974429574,NA,S22000018,089,Glasgow,220,East Renfrewshire,475912.34995549405
S01001681,Glasgow,11160.800407984743,NA,S22000018,089,Glasgow,220,East Renfrewshire,243079.35534375758
S01001682,Glasgow,17203.667476626164,NA,S22000018,089,Glasgow,220,East Renfrewshire,6642271.93522025
S01001683,Glasgow,10470.953994373664,NA,S22000018,089,Glasgow,220,East Renfrewshire,285403.3235484302
S01001684,Glasgow,19949.756700833364,NA,S22000018,089,Glasgow,220,East Renfrewshire,7812586.076338029
S01001685,Glasgow,11241.100287759695,NA,S22000018,089,Glasgow,220,East Renfrewshire,161656.55144591094
S01001686,Glasgow,10677.949918080896,NA,S22000018,089,Glasgow,220,East Renfrewshire,306928.99381759355
