lsoa,place,distance,area
E01000394,London,19001.6705656726,236956.065771499
E01000395,London,16041.5149324541,321206.880868995
E01000396,London,16220.8360257193,219178.915070004
E01000398,London,16405.646024288,233638.731845009
E01000399,London,16448.3093069784,291669.0212735
E01000400,London,16807.8168967141,281937.037963996
E01000401,London,17313.7895298455,269816.240709499
E01000402,London,20365.3384200079,311911.663104007
E01000403,London,21918.0293054373,626170.999484502
E01000404,London,21619.4816356284,170108.716669503
E01000405,London,21248.0983584069,387562.462470991
E01000406,London,20770.8982863314,428712.568870999
E01000407,London,21219.0971282554,432568.597741006
E01000408,London,20912.4871906321,1087729.27483852
E01000409,London,17349.5765213992,226654.040633498
E01000410,London,16660.3739646091,272550.715519
E01000411,London,17220.4015449735,191122.1586555
E01000412,London,16273.5621160789,245171.538980005
E01000413,London,17180.799816579,206864.326248501
E01000414,London,17200.8287289772,294515.511096495
E01000415,London,16855.4474675379,228542.105212002
E01000416,London,18122.8441458355,178440.133732499
E01000417,London,18416.3963006774,745365.601950003
E01000418,London,18628.2019488689,515470.322563485
E01000419,London,18528.0291599102,263754.270585002
E01000420,London,19169.6911318783,274492.835886995
E01000421,London,18973.2820107082,288554.2372185
E01000422,London,18130.2749000235,104206.7623405
E01000423,London,16921.4452685766,283248.519159001
E01000424,London,18172.7244945325,385730.02922449
E01000425,London,17387.4662865942,366936.329603498
E01000426,London,17606.5904988326,256035.564547998
E01000427,London,18092.0854287842,407241.396923015
E01000428,London,19038.9227994471,892932.678696487
E01000429,London,22697.4322782779,310160.838910002
E01000430,London,23819.9147786902,1510135.66191199
E01000431,London,22419.2935611523,146480.074363002
E01000432,London,22880.7917671217,460835.320682509
E01000433,London,22627.1157471681,311137.321169995
E01000434,London,23778.451308968,1547634.13864449
E01000435,London,22460.1229529,175232.508478506
E01000436,London,19528.7273564682,277149.707874998
E01000437,London,20249.7273118726,266223.467119506
E01000438,London,20741.3707163367,183044.458958998
E01000439,London,21102.6816338228,252178.470169997
E01000440,London,20065.9362837151,241772.329160003
E01000441,London,20629.0900537796,235490.270059493
E01000442,London,19878.1247699362,307419.32328
E01000443,London,19442.0319530922,273808.198889003
E01000444,London,21991.7042066055,1379720.2452035
E01000445,London,20168.3947109746,591142.9819105
E01000446,London,19448.8060359338,280066.052772497
E01000447,London,21110.2417270012,991537.245503497
E01000448,London,20289.5511619997,455588.919512998
E01000449,London,20544.8568826529,456692.306286508
E01000450,London,18030.1568126464,229100.917316505
E01000451,London,17957.9669498255,208392.590125999
E01000452,London,18433.4181171106,159329.951002003
E01000453,London,18213.4280161563,210375.643693502
E01000454,London,17741.575278316,205353.927209501
E01000455,London,17898.6894153317,262941.635482
E01000456,London,18366.4751263929,168845.895923499
E01000457,London,18714.4163724489,297817.470032508
E01000458,London,19009.9978114316,338494.6212055
E01000459,London,19114.7478502496,309967.499845996
E01000460,London,18105.0461975868,516050.495833498
E01000461,London,18940.574383074,541197.009593005
E01000462,London,18289.9345692799,462968.710909506
E01000463,London,17462.3837104564,235922.280737
E01000464,London,18671.8521954411,145363.772475003
E01000465,London,19280.5371762777,268252.260465001
E01000466,London,19119.9190894615,2360257.88831547
E01000467,London,17963.3872828916,171900.6511925
E01000468,London,18389.8448160343,293377.710018018
E01000469,London,18144.4655806531,379582.920356998
E01000470,London,18109.5631550668,360916.077836008
E01000471,London,11395.1751068368,138994.249405499
E01000472,London,11964.6069428121,432846.503912997
E01000473,London,11872.0259438548,173637.500648
E01000474,London,11723.3130232666,196454.892978998
E01000475,London,12480.9548193481,312196.682362504
E01000476,London,11442.1223760372,227165.150847504
E01000477,London,11036.8591854553,385046.215004006
E01000478,London,11681.7870864985,192114.943401998
E01000479,London,11703.932163245,314201.229097001
E01000480,London,12267.9135367349,297876.729322498
E01000481,London,11931.0054285523,254447.591288503
E01000482,London,11654.5867713732,341925.719836999
E01000483,London,11040.9413900796,225653.627264001
E01000484,London,13233.3807325161,311626.529002006
E01000485,London,13482.0396572537,177670.693922498
E01000486,London,12780.9387385885,744388.159811995
E01000487,London,13023.5006408027,307050.498186999
E01000488,London,7823.69815481847,162556.039442999
E01000489,London,7374.77561126276,319428.774502502
E01000490,London,6600.70802559486,132046.503151506
E01000491,London,6854.16460078805,371851.503793002
E01000492,London,7281.41569672092,158201.9406885
E01000493,London,7277.8276385342,187146.341769497
E01000494,London,7260.22850826129,219177.266516998
E01000495,London,6860.86744121974,171952.749710497
