lsoa,ttwa_code,ttwa_name,change_in_id_share_in_ttwa
E01021962,E30000268,Southend,2.1948560740232175e-4
E01021963,E30000268,Southend,2.4127813176767548e-4
E01021964,E30000268,Southend,2.0865346486378554e-5
E01021965,E30000268,Southend,1.898860421985682e-5
E01021966,E30000268,Southend,1.0164600772458697e-4
E01021967,E30000193,Colchester,-3.027868435259255e-4
E01021968,E30000192,Clacton,0.0036867198824992176
E01021969,E30000192,Clacton,-8.99362883097294e-4
E01021970,E30000192,Clacton,0.002160417490555896
E01021971,E30000193,Colchester,-2.2395993641434074e-4
E01021972,E30000193,Colchester,-9.066395912933839e-4
E01021973,E30000192,Clacton,-4.925666058009943e-4
E01021974,E30000192,Clacton,-7.674796288403927e-4
E01021975,E30000192,Clacton,-0.0036383802218280734
E01021976,E30000192,Clacton,-5.395058668816125e-4
E01021977,E30000192,Clacton,0.01007289882691696
E01021978,E30000192,Clacton,-5.933275921774011e-4
E01021979,E30000193,Colchester,-0.002555220837444261
E01021980,E30000193,Colchester,-3.1742274853419766e-4
E01021981,E30000193,Colchester,1.9423262065267673e-4
E01021982,E30000193,Colchester,-2.456416491641387e-4
E01021983,E30000193,Colchester,-0.001337021500866082
E01021984,E30000192,Clacton,3.8345273003675094e-4
E01021985,E30000192,Clacton,-2.567900243586486e-4
E01021986,E30000192,Clacton,7.488957731476105e-4
E01021987,E30000192,Clacton,-5.205946923448742e-4
E01021988,E30000192,Clacton,-0.0038034887524810573
E01021989,E30000192,Clacton,-4.746855188702756e-6
E01021990,E30000192,Clacton,0.002197119522248582
E01021991,E30000192,Clacton,-5.530497870257067e-4
E01021992,E30000192,Clacton,-0.0016869087923094897
E01021993,E30000192,Clacton,4.4294023709171015e-4
E01021994,E30000192,Clacton,1.5461614040510312e-4
E01021995,E30000192,Clacton,0.0014442229615691709
E01021996,E30000192,Clacton,0.0011066096797208115
E01021997,E30000192,Clacton,-0.001373776875092561
E01021998,E30000192,Clacton,-1.0006771305940895e-4
E01021999,E30000192,Clacton,0.0012261059784522323
E01022000,E30000192,Clacton,0.0028649919987303197
E01022001,E30000192,Clacton,-3.875193124812937e-4
E01022002,E30000192,Clacton,0.002610494662264376
E01022004,E30000192,Clacton,5.70053910604662e-4
E01022005,E30000192,Clacton,2.415828502388105e-5
E01022006,E30000192,Clacton,0.0025264771445706394
E01022007,E30000192,Clacton,-0.003088289457204421
E01022008,E30000192,Clacton,2.453566887068038e-4
E01022009,E30000192,Clacton,2.4730219499784385e-4
E01022010,E30000192,Clacton,0.0014949745035694193
E01022011,E30000192,Clacton,0.0030484546427216874
E01022012,E30000192,Clacton,6.685515251109199e-4
E01022013,E30000193,Colchester,1.1879210532442838e-5
E01022014,E30000193,Colchester,-0.0012951577793097937
E01022015,E30000193,Colchester,-0.0014507026048348817
E01022016,E30000192,Clacton,9.835906468388528e-4
E01022017,E30000192,Clacton,-0.0011680727860523092
E01022018,E30000192,Clacton,-0.0013111919435210874
E01022019,E30000192,Clacton,-0.0058014786510259845
E01022020,E30000193,Colchester,1.5063650905391447e-4
E01022021,E30000193,Colchester,-0.0033489170970271744
E01022022,E30000192,Clacton,0.001265380556307148
E01022023,E30000192,Clacton,9.091514166338042e-4
E01022024,E30000192,Clacton,-0.002875097149554369
E01022025,E30000192,Clacton,0.002130523384567866
E01022026,E30000192,Clacton,-0.0018008750637267083
E01022027,E30000192,Clacton,-0.003651740253472837
E01022028,E30000192,Clacton,-0.003023118524782261
E01022030,E30000192,Clacton,-0.0034746912900385507
E01022031,E30000192,Clacton,-0.007808569676714387
E01022032,E30000192,Clacton,-0.0022962427767738713
E01022033,E30000192,Clacton,0.001291858671292015
E01022034,E30000192,Clacton,0.0011806387249609033
E01022035,E30000192,Clacton,1.6691275529483879e-6
E01022036,E30000192,Clacton,7.838682147504605e-4
E01022037,E30000192,Clacton,-0.0030797356181969555
E01022038,E30000192,Clacton,-0.0016545582448863182
E01022039,E30000192,Clacton,-0.007674426094927599
E01022040,E30000192,Clacton,-1.1001987480566654e-4
E01022041,E30000192,Clacton,0.0015018365448724869
E01022042,E30000192,Clacton,8.839440416873005e-4
E01022043,E30000192,Clacton,8.669884753682126e-4
E01022044,E30000192,Clacton,-0.0028677064827449267
E01022045,E30000192,Clacton,0.0057253649642410535
E01022046,E30000192,Clacton,0.003026473636215138
E01022047,E30000192,Clacton,0.002033792732648659
E01022048,E30000192,Clacton,-3.2654985198320857e-4
E01022049,E30000192,Clacton,-0.003052055212291861
E01022050,E30000192,Clacton,0.0026090468909082
E01022051,E30000193,Colchester,-0.005075108198190145
E01022052,E30000193,Colchester,-0.0015097022147032586
E01022053,E30000193,Colchester,-8.890860009028653e-4
E01022054,E30000192,Clacton,-0.002733302251175969
E01022055,E30000192,Clacton,-0.002222644432308579
E01022056,E30000192,Clacton,0.004517315014483839
E01022057,E30000186,Cambridge,1.328610019411539e-4
E01022058,E30000188,Chelmsford,-5.999305973144954e-5
E01022059,E30000186,Cambridge,-1.3512757675490585e-4
E01022060,E30000186,Cambridge,3.3644562500373095e-5
E01022061,E30000186,Cambridge,1.779761703936272e-4
E01022062,E30000186,Cambridge,4.2005496022328847e-4
E01022063,E30000186,Cambridge,-4.6348750381927845e-4
E01022064,E30000188,Chelmsford,-4.647433008439772e-4
E01022067,E30000188,Chelmsford,7.461967164000189e-4
E01022068,E30000188,Chelmsford,-0.0010277091153185133
E01022069,E30000188,Chelmsford,0.0015039281947938597
E01022070,E30000186,Cambridge,-3.910075130831971e-4
E01022071,E30000186,Cambridge,1.3009007251403972e-4
E01022072,E30000186,Cambridge,7.587169398078488e-4
E01022073,E30000186,Cambridge,-6.894964171274044e-4
E01022074,E30000186,Cambridge,-1.5184814110669013e-4
E01022075,E30000186,Cambridge,2.180386668678058e-4
E01022076,E30000186,Cambridge,7.405095418398777e-4
E01022077,E30000186,Cambridge,3.6114167507225606e-4
E01022078,E30000186,Cambridge,1.0382357899925594e-5
E01022079,E30000186,Cambridge,7.660045562628728e-4
E01022080,E30000186,Cambridge,1.6853872392626765e-4
E01022081,E30000186,Cambridge,0.00106115252803753
E01022082,E30000186,Cambridge,-2.995853096578456e-4
E01022083,E30000186,Cambridge,-4.5888545102761177e-4
E01022084,E30000186,Cambridge,1.4812151863051286e-4
E01022085,E30000186,Cambridge,2.304192361891669e-4
E01022086,E30000186,Cambridge,-1.102119188977871e-4
E01022087,E30000186,Cambridge,0.0015210794259852317
E01022088,E30000188,Chelmsford,8.011484814608692e-4
E01022089,E30000186,Cambridge,2.0594696103573302e-5
E01022090,E30000188,Chelmsford,0.0022844794362050207
E01022091,E30000186,Cambridge,0.001446058467338685
E01022092,E30000188,Chelmsford,2.0828370748616175e-4
E01022093,E30000188,Chelmsford,0.0011833496286636994
E01022094,E30000186,Cambridge,-3.0072233305776953e-5
E01022095,E30000188,Chelmsford,3.605571116661989e-4
E01022096,E30000188,Chelmsford,-1.5984926848037389e-4
E01022097,E30000186,Cambridge,-4.7561164152307633e-4
E01022098,E30000186,Cambridge,2.640776348256748e-4
E01022099,E30000186,Cambridge,2.1465795484858262e-4
E01022100,E30000189,Cheltenham,-0.0017778318430321004
E01022101,E30000189,Cheltenham,7.955861731403458e-4
E01022102,E30000189,Cheltenham,-9.418345296758439e-4
E01022103,E30000189,Cheltenham,0.004115799289646619
E01022104,E30000189,Cheltenham,-0.0018255041154593317
E01022105,E30000189,Cheltenham,2.582209275274823e-4
E01022106,E30000189,Cheltenham,9.37895771436827e-4
E01022107,E30000189,Cheltenham,0.0015133915657054055
E01022108,E30000189,Cheltenham,8.486460795848211e-4
E01022109,E30000189,Cheltenham,-2.473014086255224e-4
E01022110,E30000189,Cheltenham,-9.474914581229631e-4
E01022111,E30000189,Cheltenham,-0.001933567200701437
E01022112,E30000189,Cheltenham,-0.0018372787341293744
E01022113,E30000189,Cheltenham,4.52174654080424e-4
E01022114,E30000189,Cheltenham,-0.001797351452503666
E01022115,E30000189,Cheltenham,-5.549815449526927e-4
E01022116,E30000189,Cheltenham,0.0020203094484728236
E01022117,E30000189,Cheltenham,7.753040503127662e-4
E01022118,E30000189,Cheltenham,-0.001057604048252185
E01022119,E30000189,Cheltenham,-0.0014636872083769632
E01022120,E30000189,Cheltenham,0.0031701827099392677
E01022121,E30000189,Cheltenham,-0.004009686179780883
E01022122,E30000189,Cheltenham,-0.004969858787466093
E01022123,E30000189,Cheltenham,0.005768080376375312
E01022124,E30000189,Cheltenham,4.028639478127257e-4
E01022125,E30000189,Cheltenham,-0.0011787049113662208
E01022126,E30000189,Cheltenham,-3.9208080470107005e-4
E01022127,E30000189,Cheltenham,-4.353110527297423e-4
E01022128,E30000189,Cheltenham,9.326881581498478e-4
E01022129,E30000189,Cheltenham,-0.0026304427393497084
E01022130,E30000189,Cheltenham,0.0015132664539441168
E01022131,E30000189,Cheltenham,-0.0019061839895918864
E01022132,E30000189,Cheltenham,-0.0039293777356151464
E01022133,E30000189,Cheltenham,-0.010276650113336394
