dz_2011,year,pop_total,pop_workingage,pop_incomedeprived,simd_score
S01006600,2006,983.75,654.125,67.375,6.7727157581375
S01006600,2009,973.375,641.875,62.5,6.54024318727143
S01006600,2012,1020.5,669.625,68.125,8.50750128167366
S01006601,2004,953,749,42,7.4073551702
S01006601,2006,896,681,48,7.5664160103
S01006601,2009,900,662,55,8.46154901205699
S01006601,2012,886,629,60,11.0868561465322
S01006602,2004,849.555555555556,521.444444444444,28.3333333333333,3.90458492913333
S01006602,2006,762.222222222222,446.111111111111,30.7777777777778,4.33541432997778
S01006602,2009,823.555555555556,491.666666666667,28.8888888888889,3.38736315675686
S01006602,2012,866.111111111111,528.333333333333,29.4444444444444,4.79706523517908
S01006603,2004,913.615384615385,497.615384615385,154.307692307692,21.9072782681538
S01006603,2006,875.076923076923,495.692307692308,151.461538461538,28.0736078598462
S01006603,2009,823.615384615385,490.923076923077,138.461538461538,26.6578932711596
S01006603,2012,799,485,128.846153846154,28.9006115076281
S01006604,2004,850,499,90.125,16.93133386325
S01006604,2006,812.25,475,102.875,19.210622297125
S01006604,2009,779.375,465,105,18.2421234045017
S01006604,2012,758.875,477.25,85.625,18.1286241871884
S01006605,2004,803.222222222222,413.777777777778,191.333333333333,29.0231583944444
S01006605,2006,744.555555555556,391.888888888889,167.111111111111,30.6982506375556
S01006605,2009,695.111111111111,368.777777777778,166.666666666667,31.1316091149574
S01006605,2012,691.888888888889,394.444444444444,128.888888888889,29.3077406098823
S01006606,2004,846.333333333333,499.75,83.9166666666667,14.4973123658333
S01006606,2006,799.666666666667,464,87.3333333333333,18.193653164
S01006606,2009,762.666666666667,454.416666666667,82.5,17.0894785048104
S01006606,2012,762,443.083333333333,79.5833333333333,16.5883035584663
S01006607,2004,923.636363636364,548.090909090909,122.090909090909,19.1997849906364
S01006607,2006,876.090909090909,518.363636363636,113.545454545455,21.1935581678182
S01006607,2009,841.727272727273,495.454545454545,105,22.282185965094
S01006607,2012,824.909090909091,498.545454545455,88.6363636363636,19.9773000951712
S01006608,2004,866.75,581.666666666667,38.5833333333333,8.65685654563333
S01006608,2006,877.666666666667,568,28.9166666666667,9.162382064625
S01006608,2009,1139.08333333333,747.583333333333,53.75,9.44958068414256
S01006608,2012,1210.91666666667,781.5,47.9166666666667,9.00550851164441
S01006609,2004,1051.25,586.416666666667,109.416666666667,15.113950253125
S01006609,2006,1005.75,564.083333333333,100.583333333333,18.7605852736167
S01006609,2009,983.166666666667,560.833333333333,111.666666666667,18.3391462305994
